state,colonies_number,yield_per_colony,production,stocks,average_price,value_of_production,year
Kentucky,5000,47,56000,56000,396,931000,2014
Louisiana,48000,84,524000,524000,218,8790000,2014
Maine,8000,47,41000,41000,499,1876000,2014
Michigan,91000,63,1835000,1835000,249,14275000,2014
Minnesota,132000,60,1426000,1426000,206,16315000,2014
Mississippi,20000,112,45000,45000,201,4502000,2014
Missouri,12000,47,96000,96000,363,2047000,2014
Montana,162000,88,5132000,5132000,209,29795000,2014
Nebraska,50000,75,1688000,1688000,204,7650000,2014
NewJersey,12000,30,119000,119000,313,1127000,2014
NewYork,60000,55,1518000,1518000,283,9339000,2014
NorthCarolina,12000,43,88000,88000,349,1801000,2014
NorthDakota,490000,86,9271000,9271000,199,83859000,2014
Ohio,15000,61,256000,256000,358,3276000,2014
Oregon,71000,40,767000,767000,220,6248000,2014
Pennsylvania,17000,46,203000,203000,291,2276000,2014
SouthCarolina,9000,54,19000,19000,397,1929000,2014
SouthDakota,280000,87,5846000,5846000,208,50669000,2014
Tennessee,7000,63,88000,88000,376,1658000,2014
Texas,116000,78,2081000,2081000,224,20268000,2014
Utah,29000,28,130000,130000,213,1730000,2014
Vermont,3000,58,61000,61000,489,851000,2014
Virginia,6000,41,57000,57000,468,1151000,2014
Washington,68000,44,1167000,1167000,261,7809000,2014
WestVirginia,6000,31,33000,33000,407,757000,2014
Wisconsin,53000,54,1030000,1030000,238,6812000,2014
Wyoming,38000,61,255000,255000,208,4821000,2014
Alabama,7000,47,13000,13000,383,1260000,2015
Arizona,26000,49,306000,306000,203,2586000,2015
Arkansas,24000,72,121000,121000,206,3560000,2015
California,275000,30,1485000,1485000,203,16748000,2015
Colorado,29000,51,399000,399000,226,3343000,2015
Florida,220000,54,832000,832000,197,23404000,2015
Georgia,69000,40,221000,221000,243,6707000,2015
Hawaii,14000,102,71000,71000,191,2727000,2015
Idaho,89000,32,1082000,1082000,193,5497000,2015
Illinois,8000,51,155000,155000,466,1901000,2015
Indiana,6000,53,165000,165000,323,1027000,2015
Iowa,36000,50,990000,990000,220,3960000,2015
Kansas,8000,36,107000,107000,350,1008000,2015
Kentucky,5000,46,55000,55000,404,929000,2015
Louisiana,44000,99,348000,348000,195,8494000,2015
Maine,10000,47,47000,47000,543,2552000,2015
Michigan,90000,58,1984000,1984000,244,12737000,2015
Minnesota,122000,68,2157000,2157000,184,15265000,2015
Mississippi,15000,83,87000,87000,240,2988000,2015
Missouri,10000,52,52000,52000,355,1846000,2015
Montana,146000,83,3757000,3757000,194,23509000,2015
Nebraska,57000,48,1450000,1450000,204,5581000,2015
NewJersey,12000,27,207000,207000,420,1361000,2015
NewYork,58000,62,899000,899000,294,10572000,2015
NorthCarolina,12000,45,103000,103000,451,2435000,2015
NorthDakota,490000,74,9428000,9428000,180,65268000,2015
Ohio,17000,50,357000,357000,360,3060000,2015
Oregon,71000,38,809000,809000,243,6556000,2015
Pennsylvania,17000,53,225000,225000,362,3262000,2015
SouthCarolina,14000,67,38000,38000,410,3846000,2015
SouthDakota,290000,66,9379000,9379000,179,34261000,2015
Tennessee,7000,59,78000,78000,404,1669000,2015
Texas,126000,66,1164000,1164000,210,17464000,2015
Utah,27000,42,147000,147000,192,2177000,2015
Vermont,5000,52,62000,62000,423,1100000,2015
Virginia,6000,38,50000,50000,553,1261000,2015
Washington,73000,44,1221000,1221000,180,5782000,2015
WestVirginia,5000,35,32000,32000,444,777000,2015
Wisconsin,52000,67,1603000,1603000,243,8466000,2015
Wyoming,38000,77,146000,146000,190,5559000,2015
Alabama,7000,52,33000,33000,345,1256000,2016
Arizona,27000,46,261000,261000,197,2447000,2016
Arkansas,24000,69,99000,99000,185,3064000,2016
California,310000,36,2009000,2009000,204,22766000,2016
Colorado,32000,40,282000,282000,224,2867000,2016
Florida,215000,50,538000,538000,243,26123000,2016
Georgia,96000,39,899000,899000,269,10071000,2016
Hawaii,16000,113,127000,127000,231,4176000,2016
Idaho,97000,34,1253000,1253000,182,6002000,2016
Illinois,10000,48,77000,77000,542,2602000,2016
Indiana,7000,62,208000,208000,346,1502000,2016
Iowa,37000,48,746000,746000,208,3694000,2016
Kansas,7000,48,54000,54000,304,1021000,2016
Kentucky,5000,46,48000,48000,402,925000,2016
Louisiana,50000,86,301000,301000,194,8342000,2016
Maine,12000,34,65000,65000,338,1379000,2016
Michigan,89000,60,1709000,1709000,237,12656000,2016
Minnesota,124000,59,1390000,1390000,169,12364000,2016
Mississippi,19000,85,113000,113000,173,2794000,2016
Missouri,8000,62,30000,30000,231,1146000,2016
Montana,159000,77,3183000,3183000,177,21670000,2016
Nebraska,48000,46,640000,640000,191,4217000,2016
NewJersey,12000,27,198000,198000,709,2297000,2016
NewYork,64000,57,1167000,1167000,319,11637000,2016
NorthCarolina,12000,37,89000,89000,478,2122000,2016
NorthDakota,485000,78,6809000,6809000,185,69986000,2016
Ohio,15000,79,664000,664000,393,4657000,2016
Oregon,74000,35,622000,622000,191,4947000,2016
Pennsylvania,19000,50,266000,266000,303,2879000,2016
SouthCarolina,16000,45,36000,36000,457,3290000,2016
SouthDakota,280000,71,12127000,12127000,176,34989000,2016
Tennessee,6000,55,69000,69000,488,1610000,2016
Texas,133000,70,2607000,2607000,208,19365000,2016
Utah,31000,32,169000,169000,193,1915000,2016
Vermont,6000,52,69000,69000,364,1136000,2016
Virginia,5000,38,30000,30000,585,1112000,2016
Washington,84000,35,412000,412000,199,5851000,2016
WestVirginia,5000,32,43000,43000,392,627000,2016
Wisconsin,54000,62,1205000,1205000,267,8939000,2016
Wyoming,40000,68,190000,190000,178,4842000,2016
Alabama,7000,45,22000,22000,288,907000,2017
Arizona,22000,40,97000,97000,199,1751000,2017
Arkansas,29000,68,197000,197000,197,3885000,2017
California,335000,41,2198000,2198000,216,29668000,2017
Colorado,33000,43,284000,284000,209,2966000,2017
Florida,205000,43,529000,529000,237,20892000,2017
Georgia,99000,32,190000,190000,300,9504000,2017
Hawaii,19000,131,25000,25000,153,3808000,2017
Idaho,95000,44,1045000,1045000,179,7482000,2017
Illinois,11000,46,167000,167000,509,2576000,2017
Indiana,8000,52,158000,158000,361,1502000,2017
Iowa,35000,58,1035000,1035000,226,4588000,2017
Kansas,7000,79,260000,260000,403,2229000,2017
Kentucky,5000,38,42000,42000,413,785000,2017
Louisiana,43000,81,279000,279000,193,6722000,2017
Maine,12000,33,51000,51000,500,1980000,2017
Michigan,87000,45,822000,822000,242,9474000,2017
Minnesota,126000,62,1016000,1016000,193,15077000,2017
Mississippi,18000,86,124000,124000,182,2817000,2017
Missouri,8000,65,57000,57000,370,1924000,2017
Montana,145000,72,2506000,2506000,221,23072000,2017
Nebraska,42000,63,423000,423000,191,5054000,2017
NewJersey,13000,28,167000,167000,874,3181000,2017
NewYork,57000,56,766000,766000,303,9672000,2017
NorthCarolina,11000,41,99000,99000,458,2066000,2017
NorthDakota,455000,74,4377000,4377000,191,64310000,2017
Ohio,15000,73,657000,657000,324,3548000,2017
Oregon,78000,40,998000,998000,210,6552000,2017
Pennsylvania,16000,46,177000,177000,351,2583000,2017
SouthCarolina,16000,34,27000,27000,270,1469000,2017
SouthDakota,255000,57,6541000,6541000,207,30087000,2017
Tennessee,7000,41,75000,75000,457,1312000,2017
Texas,120000,66,2297000,2297000,217,17186000,2017
Utah,27000,31,67000,67000,208,1741000,2017
Vermont,7000,54,144000,144000,402,1520000,2017
Virginia,6000,35,46000,46000,577,1212000,2017
Washington,77000,45,1594000,1594000,244,8455000,2017
WestVirginia,6000,40,50000,50000,393,943000,2017
Wisconsin,53000,56,683000,683000,282,8370000,2017
Wyoming,39000,53,186000,186000,161,3328000,2017
Alabama,6000,45,14000,14000,3.72,1004000,2018
Arizona,24000,38,109000,109000,3.01,2745000,2018
Arkansas,28000,50,84000,84000,1.88,2632000,2018
California,335000,41,3022000,3022000,2.11,28981000,2018
Colorado,31000,48,283000,283000,2.05,3050000,2018
Florida,215000,49,737000,737000,2.4,25284000,2018
Georgia,98000,34,200000,200000,2.76,9196000,2018
Hawaii,17000,103,18000,18000,1.92,3362000,2018
Idaho,96000,31,655000,655000,1.96,5833000,2018
Illinois,11000,41,108000,108000,4.83,2178000,2018
Indiana,7000,46,106000,106000,3.58,1153000,2018
Iowa,38000,49,1005000,1005000,2.4,4469000,2018
Kansas,5000,73,95000,95000,3.1,1132000,2018
Kentucky,4000,41,34000,34000,5.43,891000,2018
Louisiana,45000,83,261000,261000,1.91,7134000,2018
Maine,12000,32,92000,92000,2.98,1144000,2018
Michigan,97000,44,768000,768000,2.49,10627000,2018
Minnesota,119000,61,1161000,1161000,1.94,14082000,2018
Mississippi,20000,87,70000,70000,2.07,3602000,2018
Missouri,9000,45,36000,36000,2.83,1146000,2018
Montana,160000,92,3680000,3680000,1.9,27968000,2018
Nebraska,40000,59,850000,850000,2.01,4744000,2018
NewJersey,13000,31,165000,165000,7.47,3010000,2018
NewYork,56000,48,833000,833000,3.24,8709000,2018
NorthCarolina,10000,33,63000,63000,5.76,1901000,2018
NorthDakota,550000,72,4752000,4752000,1.87,74052000,2018
Ohio,14000,73,491000,491000,3.72,3802000,2018
Oregon,93000,35,1009000,1009000,2.36,7682000,2018
Pennsylvania,19000,44,309000,309000,3.89,3252000,2018
SouthCarolina,16000,48,15000,15000,3.17,2435000,2018
SouthDakota,255000,47,5154000,5154000,1.91,22891000,2018
Tennessee,7000,46,84000,84000,4.11,1323000,2018
Texas,132000,56,1035000,1035000,2.12,15671000,2018
Utah,26000,41,75000,75000,2.1,2239000,2018
Vermont,7000,48,94000,94000,3.76,1263000,2018
Virginia,4000,40,35000,35000,7.24,1158000,2018
Washington,77000,43,563000,563000,2.15,7119000,2018
WestVirginia,6000,37,38000,38000,4.33,961000,2018
Wisconsin,51000,45,711000,711000,2.95,6770000,2018
Wyoming,39000,56,175000,175000,1.91,4171000,2018
Alabama,7000,42,44000,44000,3.38,994000,2019
Arizona,23000,46,201000,201000,2.04,2158000,2019
Arkansas,20000,55,176000,176000,1.65,1815000,2019
California,335000,48,3216000,3216000,1.6,25728000,2019
Colorado,32000,46,500000,500000,2.34,3444000,2019
Florida,205000,45,830000,830000,2.46,22694000,2019
Georgia,102000,33,370000,370000,2.67,8987000,2019
Hawaii,16000,80,51000,51000,1.3,1664000,2019
Idaho,92000,32,677000,677000,1.62,4769000,2019
Illinois,11000,39,116000,116000,4.12,1767000,2019
Indiana,9000,55,188000,188000,3.78,1871000,2019
Iowa,38000,55,1170000,1170000,2.35,4912000,2019
Kansas,7000,79,171000,171000,2.35,1300000,2019
Kentucky,6000,41,44000,44000,4.66,1146000,2019
Louisiana,54000,72,428000,428000,2.15,8359000,2019
Maine,15000,35,110000,110000,3.28,1722000,2019
Michigan,94000,50,1363000,1363000,2.56,12032000,2019
Minnesota,118000,59,3063000,3063000,1.83,12740000,2019
Mississippi,22000,80,141000,141000,1.87,3291000,2019
Missouri,10000,43,73000,73000,3.35,1441000,2019
Montana,173000,86,5802000,5802000,1.49,22168000,2019
Nebraska,39000,52,223000,223000,1.44,2920000,2019
NewJersey,15000,28,155000,155000,4.68,1966000,2019
NewYork,59000,58,1027000,1027000,4,13688000,2019
NorthCarolina,14000,42,118000,118000,4.11,2417000,2019
NorthDakota,520000,65,6422000,6422000,1.43,48334000,2019
Ohio,15000,67,442000,442000,3.46,3477000,2019
Oregon,87000,32,1141000,1141000,2.5,6960000,2019
Pennsylvania,19000,50,409000,409000,4.41,4190000,2019
SouthCarolina,16000,47,45000,45000,5.03,3783000,2019
SouthDakota,270000,72,7582000,7582000,1.56,30326000,2019
Tennessee,8000,57,91000,91000,4.72,2152000,2019
Texas,126000,60,1663000,1663000,2.32,17539000,2019
Utah,22000,29,89000,89000,1.97,1257000,2019
Vermont,6000,48,84000,84000,4.48,1290000,2019
Virginia,5000,39,49000,49000,7.19,1402000,2019
Washington,81000,35,1191000,1191000,2.18,6180000,2019
WestVirginia,6000,37,47000,47000,4.26,946000,2019
Wisconsin,46000,47,692000,692000,3,6486000,2019
Wyoming,39000,56,306000,306000,1.43,3123000,2019
Alabama,7000,39,66000,66000,5.52,1507000,2020
Arizona,25000,36,360000,360000,2.38,2142000,2020
Arkansas,20000,49,176000,176000,1.85,1813000,2020
California,320000,43,2752000,2752000,1.95,26832000,2020
Colorado,30000,41,455000,455000,2.39,2940000,2020
Florida,192000,46,883000,883000,2.24,19784000,2020
Georgia,101000,34,412000,412000,2.52,8654000,2020
Hawaii,15000,105,79000,79000,1.7,2678000,2020
Idaho,107000,35,637000,637000,1.76,6591000,2020
Illinois,10000,52,156000,156000,5.65,2938000,2020
Indiana,9000,55,149000,149000,3.91,1935000,2020
Iowa,35000,58,1259000,1259000,2.54,5156000,2020
Kansas,8000,62,164000,164000,3.25,1612000,2020
Kentucky,7000,33,58000,58000,5.76,1331000,2020
Louisiana,33000,69,228000,228000,2.46,5601000,2020
Maine,10000,30,78000,78000,3.36,1008000,2020
Michigan,95000,47,1384000,1384000,2.95,13172000,2020
Minnesota,108000,55,2495000,2495000,1.8,10692000,2020
Mississippi,25000,73,146000,146000,1.99,3632000,2020
Missouri,9000,41,100000,100000,3.59,1325000,2020
Montana,110000,81,3208000,3208000,1.61,14345000,2020
Nebraska,37000,52,250000,250000,1.69,3252000,2020
NewJersey,14000,31,91000,91000,4.32,1875000,2020
NewYork,58000,56,844000,844000,3.13,10166000,2020
NorthCarolina,12000,38,123000,123000,5.5,2508000,2020
NorthDakota,495000,78,8108000,8108000,1.59,61390000,2020
Ohio,16000,75,576000,576000,3.5,4200000,2020
Oregon,95000,29,1102000,1102000,2.4,6612000,2020
Pennsylvania,19000,48,392000,392000,4.12,3757000,2020
SouthCarolina,16000,46,66000,66000,3.44,2532000,2020
SouthDakota,245000,61,8668000,8668000,1.77,26453000,2020
Tennessee,7000,51,54000,54000,4.23,1510000,2020
Texas,157000,57,1253000,1253000,2,17898000,2020
Utah,28000,34,171000,171000,2.02,1923000,2020
Vermont,6000,47,96000,96000,3.94,1111000,2020
Virginia,5000,40,54000,54000,6.03,1206000,2020
Washington,98000,37,798000,798000,2.51,9101000,2020
WestVirginia,6000,46,58000,58000,3.81,1052000,2020
Wisconsin,45000,50,855000,855000,3.11,6998000,2020
Wyoming,38000,40,608000,608000,1.71,2599000,2020
Alabama,8000,40,112000,112000,5.99,1917000,2021
Arizona,26000,40,368000,368000,2.34,2434000,2021
Arkansas,17000,50,255000,255000,2.07,1760000,2021
California,290000,33,1627000,1627000,2.4,22968000,2021
Colorado,29000,40,232000,232000,2.78,3225000,2021
Florida,193000,44,849000,849000,2.42,20551000,2021
Georgia,96000,34,261000,261000,2.73,8911000,2021
Hawaii,15000,93,56000,56000,2.21,3083000,2021
Idaho,100000,30,270000,270000,2.37,7110000,2021
Illinois,10000,46,115000,115000,5.83,2682000,2021
Indiana,10000,52,177000,177000,3.89,2023000,2021
Iowa,38000,55,502000,502000,2.46,5141000,2021
Kansas,7000,42,144000,144000,2.74,806000,2021
Kentucky,7000,37,73000,73000,4.6,1191000,2021
Louisiana,37000,58,205000,205000,2.5,5365000,2021
Maine,11000,34,60000,60000,3.18,1189000,2021
Michigan,101000,51,1957000,1957000,2.97,15298000,2021
Minnesota,125000,57,285000,285000,2.32,16530000,2021
Mississippi,25000,71,71000,71000,2.77,4917000,2021
Missouri,8000,35,92000,92000,3.99,1117000,2021
Montana,117000,57,1934000,1934000,2.17,14472000,2021
Nebraska,39000,47,550000,550000,2.17,3978000,2021
NewJersey,15000,35,158000,158000,3.27,1717000,2021
NewYork,57000,53,665000,665000,4.15,12537000,2021
NorthCarolina,13000,39,104000,104000,6.84,3468000,2021
NorthDakota,515000,55,2266000,2266000,2.19,62032000,2021
Ohio,16000,64,389000,389000,3.7,3789000,2021
Oregon,86000,31,693000,693000,2.14,5705000,2021
Pennsylvania,20000,42,336000,336000,3.4,2856000,2021
SouthCarolina,16000,42,67000,67000,5.32,3575000,2021
SouthDakota,250000,49,5268000,5268000,2.27,27808000,2021
Tennessee,8000,56,81000,81000,5,2240000,2021
Texas,137000,56,384000,384000,2.3,17646000,2021
Utah,31000,33,92000,92000,2.18,2230000,2021
Vermont,7000,47,76000,76000,3.28,1079000,2021
Virginia,6000,40,79000,79000,8.23,1975000,2021
Washington,96000,32,1206000,1206000,2.52,7741000,2021
WestVirginia,6000,43,136000,136000,4.8,1238000,2021
Wisconsin,42000,47,750000,750000,2.81,5547000,2021
Wyoming,38000,58,242000,242000,2.07,4562000,2021
