state,colonies_number,yield_per_colony,production,stocks,average_price,value_of_production,year
Michigan,72000,55,3960000,2099000,128,5069000,2006
Minnesota,125000,80,10000000,3300000,89,8900000,2006
Mississippi,14000,98,1372000,453000,105,1441000,2006
Missouri,15000,46,690000,117000,149,1028000,2006
Montana,132000,79,10428000,1981000,100,10428000,2006
Nebraska,47000,73,3431000,3843000,104,3568000,2006
Nevada,9000,37,333000,50000,355,1182000,2006
NewJersey,9000,36,324000,152000,115,373000,2006
NewMexico,7000,48,336000,104000,96,323000,2006
NewYork,60000,64,3840000,2458000,138,5299000,2006
NorthCarolina,10000,50,500000,215000,156,780000,2006
NorthDakota,350000,74,25900000,7770000,90,23310000,2006
Ohio,14000,56,784000,282000,145,1137000,2006
Oregon,46000,48,2208000,729000,111,2451000,2006
Pennsylvania,28000,40,1120000,605000,161,1803000,2006
SouthDakota,225000,47,10575000,10575000,82,8672000,2006
Tennessee,7000,55,385000,58000,184,708000,2006
Texas,82000,70,5740000,976000,87,4994000,2006
Utah,23000,50,1150000,265000,105,1208000,2006
Vermont,6000,56,336000,144000,121,407000,2006
Virginia,8000,42,336000,114000,219,736000,2006
Washington,49000,52,2548000,1605000,119,3032000,2006
WestVirginia,5000,42,210000,57000,195,410000,2006
Wisconsin,64000,93,5952000,2500000,114,6785000,2006
Wyoming,39000,85,3315000,497000,88,2917000,2006
Alabama,11000,56,616000,209000,141,869000,2007
Arizona,30000,64,1920000,902000,118,2266000,2007
Arkansas,28000,80,2240000,717000,95,2128000,2007
California,340000,40,13600000,3672000,104,14144000,2007
Colorado,33000,51,1683000,892000,112,1885000,2007
Florida,160000,71,11360000,1363000,99,11246000,2007
Georgia,60000,58,3480000,522000,114,3967000,2007
Hawaii,10000,92,920000,285000,158,1454000,2007
Idaho,92000,41,3772000,1848000,108,4074000,2007
Illinois,9000,63,567000,374000,240,1361000,2007
Indiana,7000,51,357000,100000,139,496000,2007
Iowa,26000,81,2106000,1221000,126,2654000,2007
Kansas,14000,40,560000,196000,112,627000,2007
Kentucky,4000,61,244000,54000,208,508000,2007
Louisiana,29000,89,2581000,413000,108,2787000,2007
Maine,9000,26,234000,59000,139,325000,2007
Michigan,72000,64,4608000,2350000,114,5253000,2007
Minnesota,130000,68,8840000,2564000,99,8752000,2007
Mississippi,15000,105,1575000,189000,90,1418000,2007
Missouri,13000,47,611000,141000,105,642000,2007
Montana,135000,68,9180000,2203000,94,8629000,2007
Nebraska,45000,49,2205000,1477000,98,2161000,2007
Nevada,10000,28,280000,67000,360,1008000,2007
NewJersey,9000,57,513000,185000,217,1113000,2007
NewMexico,6000,59,354000,138000,136,481000,2007
NewYork,56000,57,3192000,1947000,142,4533000,2007
NorthCarolina,11000,45,495000,69000,225,1114000,2007
NorthDakota,420000,74,31080000,9013000,92,28594000,2007
Ohio,14000,61,854000,376000,175,1495000,2007
Oregon,44000,43,1892000,1041000,121,2289000,2007
Pennsylvania,25000,42,1050000,326000,163,1712000,2007
SouthDakota,255000,52,13260000,10608000,93,12332000,2007
Tennessee,7000,65,455000,114000,195,887000,2007
Texas,105000,82,8610000,1550000,95,8180000,2007
Utah,25000,39,975000,224000,112,1092000,2007
Vermont,5000,64,320000,96000,126,403000,2007
Virginia,6000,46,276000,63000,235,649000,2007
Washington,46000,44,2024000,648000,125,2530000,2007
WestVirginia,5000,48,240000,79000,196,470000,2007
Wisconsin,60000,84,5040000,3024000,115,5796000,2007
Wyoming,43000,80,3440000,894000,103,3543000,2007
Alabama,9000,66,594000,214000,186,1105000,2008
Arizona,25000,64,1600000,336000,125,2000000,2008
Arkansas,28000,75,2100000,525000,131,2751000,2008
California,360000,51,18360000,4039000,141,25888000,2008
Colorado,27000,45,1215000,656000,150,1823000,2008
Florida,150000,79,11850000,1304000,130,15405000,2008
Georgia,55000,71,3905000,312000,149,5818000,2008
Hawaii,10000,90,900000,225000,148,1332000,2008
Idaho,90000,40,3600000,1440000,142,5112000,2008
Illinois,8000,56,448000,116000,246,1102000,2008
Indiana,6000,67,402000,129000,161,647000,2008
Iowa,24000,62,1488000,580000,156,2321000,2008
Kansas,10000,61,610000,128000,152,927000,2008
Kentucky,4000,39,156000,27000,236,368000,2008
Louisiana,29000,77,2233000,246000,133,2970000,2008
Maine,7000,42,294000,79000,150,441000,2008
Michigan,71000,73,5183000,2021000,143,7412000,2008
Minnesota,122000,78,9516000,2569000,139,13227000,2008
Mississippi,14000,98,1372000,110000,130,1784000,2008
Missouri,11000,53,583000,152000,178,1038000,2008
Montana,134000,70,9380000,4596000,137,12851000,2008
Nebraska,36000,67,2412000,1254000,142,3425000,2008
Nevada,10000,29,290000,52000,237,687000,2008
NewJersey,9000,40,360000,122000,158,569000,2008
NewMexico,6000,48,288000,95000,148,426000,2008
NewYork,50000,70,3500000,1260000,150,5250000,2008
NorthCarolina,12000,52,624000,137000,212,1323000,2008
NorthDakota,390000,90,35100000,8424000,135,47385000,2008
Ohio,14000,53,742000,371000,188,1395000,2008
Oregon,50000,43,2150000,1097000,148,3182000,2008
Pennsylvania,23000,48,1104000,276000,165,1822000,2008
SouthDakota,225000,95,21375000,11970000,134,28643000,2008
Tennessee,7000,61,427000,149000,204,871000,2008
Texas,77000,64,4928000,1380000,134,6604000,2008
Utah,28000,48,1344000,242000,156,2097000,2008
Vermont,5000,66,330000,119000,179,591000,2008
Virginia,6000,42,252000,45000,218,549000,2008
Washington,41000,44,1804000,722000,150,2706000,2008
WestVirginia,6000,43,258000,49000,198,511000,2008
Wisconsin,58000,80,4640000,2366000,140,6496000,2008
Wyoming,39000,61,2379000,381000,137,3259000,2008
Alabama,9000,49,441000,66000,182,803000,2009
Arizona,20000,52,1040000,562000,153,1591000,2009
Arkansas,24000,57,1368000,301000,139,1902000,2009
California,355000,33,11715000,2109000,139,16284000,2009
Colorado,28000,53,1484000,326000,140,2078000,2009
Florida,150000,68,10200000,1428000,138,14076000,2009
Georgia,65000,41,2665000,346000,147,3918000,2009
Hawaii,10000,95,950000,323000,163,1549000,2009
Idaho,103000,46,4738000,1706000,145,6870000,2009
Illinois,8000,34,272000,57000,226,615000,2009
Indiana,9000,32,288000,101000,198,570000,2009
Iowa,26000,42,1092000,339000,151,1649000,2009
Kansas,9000,63,567000,164000,189,1072000,2009
Kentucky,5000,35,175000,25000,273,478000,2009
Louisiana,37000,103,3811000,610000,132,5031000,2009
Maine,6000,50,300000,51000,186,558000,2009
Michigan,66000,60,3960000,1505000,151,5980000,2009
Minnesota,122000,65,7930000,1427000,140,11102000,2009
Mississippi,14000,104,1456000,87000,132,1922000,2009
Missouri,11000,47,517000,57000,198,1024000,2009
Montana,146000,70,10220000,3577000,145,14819000,2009
Nebraska,48000,56,2688000,1102000,144,3871000,2009
Nevada,10000,52,520000,57000,129,671000,2009
NewJersey,9000,32,288000,46000,193,556000,2009
NewMexico,7000,60,420000,143000,163,685000,2009
NewYork,47000,65,3055000,978000,183,5591000,2009
NorthCarolina,11000,45,495000,84000,252,1247000,2009
NorthDakota,450000,77,34650000,7623000,137,47471000,2009
Ohio,11000,50,550000,132000,275,1513000,2009
Oregon,55000,34,1870000,767000,149,2786000,2009
Pennsylvania,21000,40,840000,319000,199,1672000,2009
SouthDakota,270000,66,17820000,6237000,139,24770000,2009
Tennessee,7000,51,357000,86000,235,839000,2009
Texas,74000,63,4662000,886000,138,6434000,2009
Utah,26000,38,988000,198000,147,1452000,2009
Vermont,5000,49,245000,69000,236,578000,2009
Virginia,6000,39,234000,56000,328,768000,2009
Washington,62000,44,2728000,1064000,149,4065000,2009
WestVirginia,5000,37,185000,33000,267,494000,2009
Wisconsin,63000,60,3780000,1588000,151,5708000,2009
Wyoming,37000,48,1776000,391000,143,2540000,2009
Alabama,9000,54,73000,73000,240,1166000,2010
Arizona,24000,77,665000,665000,152,2809000,2010
Arkansas,25000,60,360000,360000,147,2205000,2010
California,410000,67,6318000,6318000,155,42579000,2010
Colorado,34000,56,533000,533000,152,2894000,2010
Florida,200000,69,1794000,1794000,156,21528000,2010
Georgia,55000,46,152000,152000,167,4225000,2010
Hawaii,10000,77,239000,239000,275,2118000,2010
Idaho,97000,27,1179000,1179000,161,4217000,2010
Illinois,9000,41,92000,92000,278,1026000,2010
Indiana,10000,43,151000,151000,223,959000,2010
Iowa,27000,49,463000,463000,192,2540000,2010
Kansas,9000,52,103000,103000,202,945000,2010
Kentucky,5000,67,67000,67000,272,911000,2010
Louisiana,36000,80,288000,288000,150,4320000,2010
Maine,5000,41,33000,33000,205,420000,2010
Michigan,71000,58,1524000,1524000,167,6877000,2010
Minnesota,128000,66,1774000,1774000,155,13094000,2010
Mississippi,16000,98,78000,78000,144,2258000,2010
Missouri,11000,52,92000,92000,180,1030000,2010
Montana,157000,74,2905000,2905000,158,18356000,2010
